stimDur,restDur,jitter
1.0,10.0,0.6599999999999999
4.0,16.0,2.6399999999999997
24.0,24.0,2.6399999999999997
24.0,24.0,1.9799999999999998
12.0,20.0,0.0
2.0,12.0,2.6399999999999997
4.0,16.0,1.9799999999999998
12.0,20.0,2.6399999999999997
12.0,20.0,1.3199999999999998
1.0,10.0,1.9799999999999998
2.0,12.0,0.6599999999999999
24.0,24.0,0.6599999999999999
1.0,10.0,0.0
4.0,16.0,0.6599999999999999
1.0,10.0,1.3199999999999998
12.0,20.0,1.9799999999999998
1.0,10.0,2.6399999999999997
2.0,12.0,1.3199999999999998
24.0,24.0,1.3199999999999998
12.0,20.0,0.6599999999999999
4.0,16.0,1.3199999999999998
2.0,12.0,0.0
2.0,12.0,1.9799999999999998
4.0,16.0,0.0
24.0,24.0,0.0
